Frequency,GB4,OS23-0002,OS23-0003,OS23-0004,OS23-0005-110,OS23-0005-110 (S),OS23-0005-120,OS23-0005-120(S),OS24-0005-020,OS24-0005-040,OS24-0005-050,OS24-0005-060
200,-4.90E-07,3.15E-09,-6.83E-10,-1.07E-09,-6.93E-07,-6.64E-07,1.87E-08,-6.63E-07,3.52E-08,5.26E-07,-8.93E-10,-2.67E-07
200,-4.90E-07,6.74E-10,-5.49E-11,1.57E-09,-6.72E-07,-6.33E-07,1.41E-08,-6.53E-07,2.07E-07,-3.22E-08,-1.05E-09,-2.78E-06
200,-4.78E-07,2.43E-09,-1.01E-09,1.32E-09,-6.94E-07,-6.39E-07,1.96E-08,-6.61E-07,1.91E-07,1.07E-07,-1.04E-09,-1.18E-06
200,-4.97E-07,4.79E-09,-6.09E-11,-1.77E-09,-7.06E-07,-6.47E-07,1.94E-08,-6.64E-07,1.82E-07,-1.90E-06,6.47E-09,1.08E-08
250,-2.35E-07,6.50E-09,4.63E-10,-1.09E-09,-4.39E-07,-5.07E-07,-5.80E-09,-4.15E-07,1.00E-07,-5.55E-07,5.58E-09,3.07E-07
250,-4.95E-07,3.86E-09,-6.27E-11,-2.18E-10,-4.30E-07,-4.89E-07,-2.00E-09,-4.21E-07,1.44E-07,-2.65E-07,-2.75E-10,3.05E-07
250,-4.27E-07,3.24E-09,4.18E-09,8.68E-10,-4.50E-07,-4.83E-07,1.85E-09,-4.23E-07,7.83E-07,1.53E-06,2.83E-11,-9.96E-08
250,-3.45E-07,-5.61E-09,1.28E-09,2.38E-09,-3.96E-07,-4.76E-07,6.55E-09,-3.96E-07,-2.76E-07,3.12E-07,-4.43E-10,-2.12E-07
250,-5.14E-07,1.12E-08,1.12E-10,-2.01E-10,-4.34E-07,-4.97E-07,-1.75E-09,-4.30E-07,-2.56E-07,-4.51E-07,-8.27E-12,2.81E-07
250,-3.48E-07,-4.98E-09,-2.20E-10,3.50E-10,-4.61E-07,-4.89E-07,5.77E-09,-4.27E-07,-1.51E-07,1.41E-06,7.36E-10,7.30E-08
300,-2.63E-07,5.44E-09,4.58E-10,-4.58E-09,-3.26E-07,-3.14E-07,-2.84E-09,-3.30E-07,1.85E-08,-2.31E-07,-5.85E-10,2.68E-07
300,-2.49E-07,1.01E-09,1.90E-09,-9.20E-10,-3.24E-07,-3.72E-07,2.43E-08,-3.22E-07,1.87E-08,1.29E-06,2.52E-10,-1.56E-07
300,-1.94E-07,-2.66E-09,6.59E-09,9.00E-10,-3.30E-07,-3.03E-07,-3.51E-09,-3.22E-07,-1.09E-06,-2.02E-06,6.21E-10,4.89E-08
300,-3.41E-07,-4.88E-09,2.33E-08,-2.18E-10,-3.21E-07,-4.49E-07,-4.12E-10,-3.45E-07,-8.92E-08,3.28E-07,-6.41E-10,-6.31E-08
300,-3.59E-07,-4.26E-09,3.40E-12,-1.79E-10,-3.31E-07,-3.91E-07,3.95E-08,-3.36E-07,1.12E-07,-2.32E-06,1.07E-05,-7.26E-08
400,3.07E-07,3.62E-10,8.25E-10,-1.37E-08,-1.60E-08,2.11E-07,-1.73E-08,1.07E-07,2.12E-07,-8.64E-07,6.64E-07,-6.53E-08
400,3.02E-07,-5.48E-09,1.13E-10,2.12E-08,-1.50E-08,1.07E-07,-1.84E-08,8.80E-08,3.34E-07,-9.21E-07,-6.27E-07,1.09E-07
400,2.71E-07,3.89E-09,-2.45E-10,-8.04E-07,-1.91E-08,1.57E-07,-1.83E-08,1.37E-07,2.70E-07,-4.36E-07,4.12E-07,6.70E-08
400,2.69E-07,4.52E-09,8.68E-10,-4.43E-07,-2.35E-08,1.46E-07,-1.88E-08,7.82E-08,9.94E-08,-4.47E-07,2.63E-06,1.96E-07
400,3.02E-07,1.65E-09,-9.21E-10,-1.98E-08,1.51E-09,1.36E-07,-1.41E-08,9.80E-08,1.82E-07,-1.15E-06,1.13E-08,-1.48E-08
400,2.99E-07,-4.96E-09,3.57E-09,1.64E-07,-3.04E-10,1.65E-07,-1.14E-08,9.28E-08,-5.47E-07,-4.22E-07,1.25E-07,-9.67E-08
400,3.38E-07,5.61E-10,-1.74E-09,-1.44E-06,-1.75E-08,8.51E-08,-1.64E-08,1.35E-07,-1.85E-07,-4.67E-07,-1.23E-07,3.84E-08
500,6.40E-07,5.68E-09,-5.11E-10,2.43E-07,3.58E-07,5.40E-07,1.77E-07,3.15E-07,3.77E-07,2.26E-06,1.95E-08,7.28E-08
500,7.97E-07,4.26E-09,-1.36E-09,-1.00E-06,2.02E-07,5.21E-07,1.75E-07,3.26E-07,4.58E-07,5.49E-07,7.19E-09,3.66E-07
500,7.62E-07,5.37E-09,5.44E-10,1.51E-06,1.81E-07,4.29E-07,1.51E-07,3.62E-07,3.49E-07,-4.69E-07,6.25E-09,5.16E-07
500,7.23E-07,5.10E-09,6.86E-10,8.76E-07,2.84E-07,4.30E-07,1.74E-07,3.20E-07,6.83E-07,4.53E-07,6.27E-09,2.28E-07
500,7.22E-07,2.09E-09,-5.20E-11,3.20E-06,3.33E-07,4.10E-07,1.75E-07,3.38E-07,7.04E-07,2.57E-06,7.72E-09,-1.71E-08
500,6.55E-07,9.75E-09,1.13E-10,-1.80E-06,2.51E-07,5.57E-07,1.77E-07,2.81E-07,6.81E-07,1.08E-06,4.01E-09,3.27E-07
600,2.12E-06,6.80E-09,-8.66E-11,-6.39E-07,3.72E-06,4.32E-06,4.04E-06,3.64E-06,2.51E-06,2.21E-06,3.64E-08,3.31E-06
600,2.17E-06,1.50E-08,2.28E-09,1.47E-08,3.65E-06,4.19E-06,3.90E-06,3.70E-06,2.20E-06,3.19E-06,1.12E-07,3.21E-06
600,2.01E-06,1.97E-09,5.75E-10,-2.60E-10,3.58E-06,4.21E-06,3.49E-06,1.20E-06,2.11E-06,2.93E-06,3.49E-09,1.42E-06
600,2.38E-06,-1.99E-09,1.59E-09,2.44E-10,3.75E-06,4.12E-06,3.22E-06,1.17E-06,1.61E-06,8.29E-07,-3.90E-08,3.59E-06
600,5.47E-06,1.77E-08,-1.64E-10,2.46E-11,3.89E-06,4.14E-06,3.93E-06,1.20E-06,2.23E-06,2.76E-07,4.48E-08,3.21E-06
750,2.01E-04,2.57E-04,-2.67E-07,1.73E-12,2.15E-04,1.95E-04,2.02E-04,1.67E-04,1.36E-04,1.33E-04,-2.12E-08,1.85E-04
750,2.17E-04,4.79E-04,-4.20E-09,-2.21E-08,2.15E-04,1.88E-04,2.17E-04,1.63E-04,1.42E-04,1.23E-04,-4.55E-09,1.83E-04
750,1.41E-04,2.53E-05,-1.22E-10,1.24E-08,2.17E-04,1.87E-04,2.08E-04,1.77E-04,1.44E-04,1.35E-04,5.52E-07,1.78E-04
750,1.94E-04,2.18E-05,1.34E-11,3.30E-09,2.24E-04,1.93E-04,2.13E-04,1.62E-04,1.55E-04,1.51E-04,-1.12E-05,1.72E-04
750,1.91E-04,4.58E-07,-2.06E-08,-1.64E-08,2.25E-04,1.85E-04,1.99E-04,1.67E-04,1.41E-04,1.55E-04,-8.27E-07,1.86E-04
750,1.96E-04,2.18E-07,-2.44E-08,-1.08E-08,2.24E-04,1.86E-04,2.10E-04,1.63E-04,1.38E-04,1.53E-04,1.28E-06,1.82E-04
1000,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15
1000,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15
1000,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15
1000,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15
1000,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15
1000,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15
1000,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15,-9.80E-15
1200,1.32E-05,-1.40E-07,-1.82E-10,2.86E-07,1.86E-05,1.88E-05,1.65E-05,1.06E-05,2.54E-05,1.96E-05,-4.22E-07,9.32E-06
1200,8.73E-06,2.33E-07,3.75E-11,3.51E-08,1.13E-05,1.57E-05,1.53E-05,1.81E-05,2.56E-05,1.99E-05,-3.81E-08,1.36E-05
1200,1.42E-05,-3.98E-07,-5.99E-11,-9.89E-09,1.99E-05,1.04E-05,1.67E-05,1.64E-05,2.61E-05,2.56E-05,-6.45E-08,1.69E-05
