Frequency,GB4,OS23-0002,OS23-0003,OS23-0004,OS23-0005-110,OS23-0005-110 (S),OS23-0005-120,OS23-0005-120(S),OS24-0005-020,OS24-0005-040,OS24-0005-050,OS24-0005-060
15000,-6.11E-05,2.67E-08,-1.73E-11,6.69E-09,-5.50E-05,-5.59E-05,-5.83E-05,-5.79E-05,-6.56E-05,-7.10E-05,-1.15E-07,-6.03E-05
15000,-6.17E-05,1.09E-07,2.83E-10,-1.83E-08,-5.69E-05,-5.62E-05,-5.83E-05,-6.06E-05,-7.11E-05,-6.80E-05,1.96E-06,-5.69E-05
15000,-6.01E-05,7.60E-08,1.36E-11,3.60E-09,-5.91E-05,-6.04E-05,-6.46E-05,-5.05E-08,-6.92E-05,-6.41E-05,-8.36E-08,-5.68E-05
15000,-5.81E-05,-6.25E-09,3.54E-12,-7.71E-09,-5.91E-05,-5.89E-05,-6.19E-05,-4.13E-08,-6.77E-05,-7.02E-05,5.16E-09,-6.26E-05
15000,-6.05E-05,6.82E-08,-6.71E-11,-1.99E-08,-6.03E-05,-5.40E-05,-5.34E-05,-1.43E-08,-6.63E-05,-6.86E-05,-6.45E-10,-5.72E-05
15000,-5.94E-05,3.80E-08,-5.85E-10,-9.88E-12,-6.27E-05,-5.81E-05,-5.64E-05,-5.96E-05,-7.57E-05,-6.79E-05,4.06E-07,-5.96E-05
20000,5.12E-07,3.84E-09,2.29E-12,-2.07E-13,-2.79E-05,-3.53E-05,-1.82E-05,6.45E-06,4.85E-06,6.03E-06,-2.57E-09,6.99E-06
20000,-7.38E-06,3.13E-10,-1.72E-11,-5.17E-14,-6.65E-06,-2.10E-05,1.40E-05,7.33E-06,7.01E-06,1.90E-06,2.43E-07,-1.15E-05
20000,-1.10E-05,-5.15E-10,-1.40E-11,-7.23E-11,-2.37E-05,-3.91E-05,-2.74E-05,-8.32E-06,1.39E-05,1.11E-05,1.06E-12,-2.49E-05
20000,-8.18E-06,-4.71E-11,1.91E-09,-3.54E-11,-5.90E-06,-2.34E-05,-1.71E-05,-1.62E-05,-7.01E-06,1.84E-05,-2.46E-12,-2.27E-05
20000,-1.95E-05,5.17E-10,7.13E-10,-2.02E-11,-2.77E-05,-2.20E-05,-1.54E-05,-2.01E-05,1.35E-05,3.10E-05,1.47E-12,-9.44E-06
20000,-6.22E-06,9.65E-12,4.80E-09,2.65E-13,-1.79E-05,-1.35E-05,-2.30E-05,-1.20E-05,5.20E-06,1.35E-05,9.10E-12,-1.72E-05
20000,1.74E-05,3.69E-12,-1.17E-11,2.24E-12,-1.47E-06,-2.48E-05,-2.50E-05,-3.56E-06,-2.61E-05,-2.13E-06,-2.89E-12,3.94E-06
25000,-2.08E-06,-1.39E-10,-6.25E-11,-5.12E-13,-3.87E-06,-3.97E-06,-3.54E-06,-3.54E-06,-4.20E-06,-4.18E-06,-1.62E-12,-3.01E-06
25000,-2.18E-06,-1.83E-12,-2.12E-10,4.73E-13,-3.76E-06,-3.70E-06,-3.57E-06,-3.76E-06,-3.32E-06,-2.90E-06,4.67E-12,-4.28E-06
25000,-2.01E-06,-1.62E-10,3.24E-12,-5.98E-13,-3.36E-06,-3.82E-06,-3.79E-06,-5.43E-06,-3.52E-06,-4.41E-06,5.46E-12,-3.72E-06
25000,-1.96E-06,5.62E-11,-2.16E-10,3.41E-11,-3.44E-06,-3.94E-06,-3.82E-06,-2.79E-06,-4.83E-06,-5.41E-06,-7.12E-12,-3.32E-06
25000,-2.01E-06,-1.88E-11,-2.75E-11,3.00E-11,-3.89E-06,-3.55E-06,-3.62E-06,-4.07E-06,-4.64E-06,-2.13E-06,-2.61E-12,-4.19E-06
25000,-2.09E-06,1.78E-10,-1.84E-12,-7.21E-11,-3.95E-06,-3.35E-06,-3.75E-06,-4.08E-06,-4.02E-06,-4.84E-06,6.77E-11,-3.50E-06
30000,5.25E-07,1.94E-11,1.71E-12,-8.30E-12,1.83E-06,1.24E-06,1.58E-06,1.15E-06,1.52E-06,1.10E-06,-1.48E-11,1.52E-06
30000,5.41E-07,-7.96E-12,-3.94E-12,2.76E-12,1.82E-06,1.41E-06,1.67E-06,2.80E-06,1.26E-06,9.54E-07,-9.34E-12,1.53E-06
30000,6.44E-07,-8.99E-12,-1.20E-10,-6.56E-12,1.78E-06,1.31E-06,1.68E-06,1.06E-06,2.29E-06,1.45E-06,1.47E-11,1.03E-06
30000,5.65E-07,1.20E-11,-1.20E-13,1.87E-12,1.79E-06,1.14E-06,1.62E-06,8.97E-08,6.34E-07,5.90E-07,-3.75E-12,1.25E-06
30000,5.55E-07,-9.89E-12,1.31E-11,-8.53E-12,1.77E-06,1.54E-06,1.66E-06,2.50E-12,1.10E-06,2.41E-06,2.35E-11,9.84E-07
40000,4.39E-06,-8.31E-13,-1.00E-11,6.54E-12,3.89E-05,3.38E-05,3.73E-05,-5.95E-13,3.82E-05,4.33E-05,1.28E-12,3.56E-05
40000,2.93E-06,-1.68E-12,-2.83E-12,-1.14E-14,3.56E-05,1.77E-05,3.79E-05,-1.14E-12,8.49E-06,3.86E-05,-7.99E-11,3.27E-05
40000,4.57E-06,3.28E-12,-1.59E-09,-1.10E-11,3.26E-05,2.88E-05,3.75E-05,-1.96E-12,1.18E-05,4.61E-05,-6.39E-11,3.66E-05
40000,3.57E-06,-1.40E-13,-1.28E-09,6.95E-14,3.57E-05,3.13E-05,3.77E-05,-5.03E-14,3.46E-05,3.63E-05,-7.63E-11,3.43E-05
40000,3.51E-06,5.30E-12,9.60E-11,-3.44E-11,3.72E-05,3.45E-05,3.39E-05,-2.53E-12,4.31E-06,3.00E-05,1.26E-11,3.84E-05
40000,3.90E-06,-1.99E-11,4.69E-10,6.29E-14,4.01E-05,3.43E-05,3.86E-05,-2.66E-12,6.63E-05,5.57E-05,-2.02E-11,3.92E-05
40000,5.48E-06,1.71E-13,1.58E-10,-6.04E-14,3.37E-05,2.71E-05,3.83E-05,-2.10E-12,2.21E-05,2.77E-05,-9.36E-12,5.44E-05
50000,-2.80E-06,5.08E-13,-1.17E-09,2.02E-13,1.56E-05,1.31E-05,1.19E-05,-1.37E-12,1.10E-05,1.89E-05,2.17E-10,1.18E-05
50000,-3.69E-06,-5.70E-13,-1.88E-09,-4.25E-13,1.52E-05,1.79E-05,1.26E-05,-1.52E-12,1.84E-05,1.55E-05,5.98E-10,1.30E-05
50000,-4.45E-06,3.74E-13,1.49E-09,2.94E-13,1.93E-05,1.22E-05,9.20E-06,9.76E-14,2.02E-05,1.94E-05,-7.17E-13,1.11E-05
50000,-4.68E-06,-2.66E-12,-1.73E-09,-5.29E-13,1.49E-05,1.75E-05,1.42E-05,-1.95E-12,2.16E-05,1.45E-05,-4.86E-10,1.45E-05
50000,-2.60E-06,2.82E-13,4.83E-09,-1.96E-11,1.13E-05,1.81E-05,1.48E-05,-1.11E-13,1.71E-05,1.44E-05,7.57E-10,8.40E-06
50000,-1.89E-06,1.47E-12,1.55E-09,-2.34E-11,1.35E-05,1.73E-05,1.00E-05,-1.14E-12,1.45E-05,1.75E-05,3.83E-07,1.47E-05
60000,-3.51E-06,2.73E-13,-4.76E-11,-2.36E-11,4.53E-06,6.48E-06,6.63E-06,-4.33E-13,5.16E-06,4.34E-06,1.77E-11,6.34E-06
60000,-4.61E-06,-1.87E-13,-6.42E-10,1.74E-11,6.98E-06,6.41E-06,5.60E-06,-7.53E-13,5.83E-06,4.64E-06,-1.53E-09,6.58E-06
60000,-8.98E-06,9.92E-15,-1.19E-09,2.86E-09,4.55E-06,5.55E-06,5.29E-06,-1.38E-12,3.86E-06,5.24E-06,8.16E-09,6.28E-06
60000,-7.60E-06,-2.92E-14,5.28E-10,-2.99E-10,4.75E-06,8.47E-06,6.07E-06,-9.71E-13,4.22E-06,4.83E-06,1.18E-08,6.63E-06
60000,-4.97E-06,-3.36E-13,7.52E-10,-5.35E-12,4.81E-06,7.12E-06,5.77E-06,-1.75E-12,5.17E-06,3.99E-06,1.06E-12,5.49E-06
75000,-1.61E-05,-5.02E-13,4.10E-11,2.37E-11,-1.33E-06,-5.82E-06,-2.40E-06,-8.71E-13,-1.37E-06,-1.02E-06,1.46E-13,-1.46E-06
75000,-8.54E-06,-6.86E-13,4.01E-09,2.41E-12,-2.39E-07,-4.01E-06,-1.29E-06,-7.79E-13,-1.11E-06,-1.07E-06,-9.93E-12,-2.18E-06
75000,-1.10E-05,-4.32E-13,-2.76E-11,-6.10E-14,-1.89E-06,-4.85E-06,-1.06E-06,-1.88E-12,-7.33E-07,-2.25E-06,-4.11E-12,-1.62E-06
75000,-3.35E-06,-7.18E-13,9.56E-11,1.13E-11,-1.35E-06,-2.25E-06,-2.17E-06,-1.54E-12,-1.40E-06,-1.18E-06,2.24E-13,-2.09E-06
75000,-7.01E-06,-7.25E-13,1.24E-10,4.94E-12,-5.22E-07,-5.26E-06,-2.23E-06,-1.05E-12,-8.78E-07,-1.88E-07,5.50E-12,-7.68E-07
75000,-5.23E-06,-6.00E-13,-1.48E-10,-6.97E-11,-2.22E-06,-2.33E-06,-7.35E-07,-7.68E-13,-9.58E-07,-1.74E-06,1.19E-09,-1.39E-06
100000,6.15E-06,-9.12E-13,-1.31E-11,4.23E-11,-2.07E-06,-5.66E-06,-1.43E-06,-4.56E-13,-2.43E-06,-1.82E-06,3.08E-09,-1.72E-06
100000,7.63E-06,-1.06E-12,-2.12E-11,-2.25E-11,-3.34E-06,-6.03E-06,-2.06E-06,-3.82E-13,-3.06E-06,-1.89E-06,5.25E-13,-2.06E-06
100000,5.95E-06,-1.17E-12,-5.76E-11,-9.95E-12,-2.08E-06,-3.90E-06,-1.45E-06,-1.52E-13,-2.34E-06,-1.45E-06,-3.00E-12,-2.26E-06
100000,9.47E-06,-1.13E-12,-9.75E-11,6.66E-13,-1.74E-06,-3.90E-06,-1.98E-06,-1.23E-13,-2.24E-06,-1.23E-06,1.45E-12,-2.57E-06
100000,5.94E-06,-1.15E-12,-3.18E-10,-6.11E-12,-2.41E-06,-6.35E-06,-1.63E-06,7.89E-11,-2.21E-06,-1.42E-06,3.27E-12,-2.15E-06
100000,6.75E-06,-1.10E-12,-5.99E-10,-3.31E-11,-2.02E-06,-5.35E-06,-2.27E-06,4.99E-11,-2.75E-06,-2.30E-06,1.29E-12,-2.57E-06
100000,9.39E-06,-1.15E-12,-1.06E-11,1.78E-11,-2.43E-06,-4.10E-06,-2.48E-06,3.68E-11,-1.60E-06,-1.93E-06,-2.70E-10,-2.21E-06
100000,1.09E-05,-1.10E-12,-1.20E-10,-1.85E-11,-2.17E-06,-3.45E-06,-2.13E-06,3.09E-11,-2.58E-06,-1.43E-06,7.23E-11,-2.43E-06

